animal	sire	dam	born	sex	herd	status	cause	died	TBV	recessives
	1282252	1125400	1192884	14	M	153	A		-1	3599.31932579	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1263101	1125129	1115597	14	M	183	A		-1	3599.33594066	[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]
	1253060	1125098	1155587	14	M	106	A		-1	3599.36025821	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1238132	1125046	1185655	14	M	200	A		-1	3599.43103934	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1239014	1125046	1133142	14	M	178	A		-1	3599.49324238	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1256180	1125121	1028067	14	M	190	A		-1	3599.50069843	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1210009	1123998	1144124	14	M	45	A		-1	3599.5702662	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	1206260	1123808	1109021	14	M	64	A		-1	3599.68873149	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1253231	1125098	1072202	14	M	194	A		-1	3599.90537252	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1281934	1125400	1103822	14	M	93	A		-1	3599.96518285	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1288438	1125445	1120061	14	M	112	A		-1	3599.98389821	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1273248	1125306	1126856	14	M	46	A		-1	3600.54885833	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1269152	1125131	1175273	14	M	143	A		-1	3600.71278505	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1236700	1125046	1120916	14	M	61	A		-1	3600.78031401	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1201700	1125181	1132109	14	M	19	A		-1	3601.08823226	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1220866	1124497	1145707	14	M	16	A		-1	3601.12519637	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1289772	1125445	1192721	14	M	75	A		-1	3601.28499792	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1240792	1125069	1181177	14	M	4	A		-1	3601.4992853	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1293460	1125473	1032311	14	M	180	A		-1	3601.51374132	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1196896	1194257	1020009	14	M	41	A		-1	3601.60105492	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1252396	1125098	1107351	14	M	76	A		-1	3601.80633469	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1223222	1124497	1109175	14	M	22	A		-1	3602.10992709	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1240264	1125069	1103564	14	M	146	A		-1	3602.56922493	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1285523	1125445	1150784	14	M	87	A		-1	3602.5777881	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1217002	1124286	1117110	14	M	76	A		-1	3602.69560753	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1215986	1124286	1042296	14	M	71	A		-1	3602.760791	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1222318	1124497	1024253	14	M	10	A		-1	3603.2141864	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1226274	1124678	1019426	14	M	143	A		-1	3603.31284519	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1250751	1125098	1141424	14	M	41	A		-1	3603.99598493	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1099872	1030908	1082029	13	M	49	A		-1	3604.04840599	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1204613	1125181	1113143	14	M	31	A		-1	3604.05178565	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1199934	1125181	1102672	14	M	53	A		-1	3604.06027533	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1235044	1125046	1102097	14	M	172	A		-1	3604.29007597	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1236794	1125046	1100729	14	M	137	A		-1	3604.49603954	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	1280581	1125400	1192436	14	M	81	A		-1	3605.42674527	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1220798	1124497	1079241	14	M	70	A		-1	3605.57684148	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1220950	1124497	1147471	14	M	1	A		-1	3605.65243318	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1220208	1124497	1108638	14	M	13	A		-1	3605.9316244	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1235554	1125046	1160844	14	M	88	A		-1	3606.29580086	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251361	1125098	1136030	14	M	43	A		-1	3606.72984787	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1222577	1124497	1144456	14	M	176	A		-1	3607.04095605	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1239112	1125046	1045903	14	M	64	A		-1	3607.56759377	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1232200	1124949	1105981	14	M	48	A		-1	3607.68631961	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1250295	1125098	1121119	14	M	22	A		-1	3608.28469509	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1213943	1123998	1155852	14	M	42	A		-1	3608.41419725	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	1273452	1125306	1153442	14	M	18	A		-1	3609.08471221	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1255499	1125121	1124267	14	M	170	A		-1	3609.20776987	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1247932	1125078	1130217	14	M	85	A		-1	3609.52367225	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1281331	1125400	1190350	14	M	195	A		-1	3609.85003517	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1252357	1125098	990916	14	M	40	A		-1	3609.85022293	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251089	1125098	1183726	14	M	3	A		-1	3610.06038644	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1269071	1125131	1126926	14	M	48	A		-1	3610.0876656	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1223730	1124497	1036369	14	M	62	A		-1	3610.22460814	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
