animal	sire	dam	born	sex	herd	status	cause	died	TBV	recessives
	1662777	1525065	1521757	18	M	72	A		-1	4482.78881801	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1601774	1525631	1419070	18	M	129	A		-1	4483.15368133	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1510736	1418843	1352540	17	M	99	A		-1	4483.70330027	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1623178	1523193	1250667	18	M	78	A		-1	4484.22088374	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1693496	1526983	1475767	18	M	164	A		-1	4484.56730423	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1627300	1523456	1581224	18	M	40	A		-1	4484.87456175	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1616137	1523163	1530661	18	M	127	A		-1	4485.00496177	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1597715	1594452	1569102	18	M	96	A		-1	4485.0301584	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1680744	1526221	1503265	18	M	71	A		-1	4485.03824304	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1620244	1523193	1567072	18	M	31	A		-1	4485.18197679	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1620007	1523193	1488345	18	M	150	A		-1	4485.37893257	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1648137	1524439	1513635	18	M	60	A		-1	4485.73874361	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1625206	1523456	1584525	18	M	143	A		-1	4485.85001308	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1665660	1525251	1576131	18	M	80	A		-1	4485.94531222	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1689512	1526983	1512812	18	M	35	A		-1	4486.00605324	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1663440	1525065	1518978	18	M	59	A		-1	4486.47458684	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1620747	1523193	1534036	18	M	36	A		-1	4486.64321482	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1673841	1526047	1535149	18	M	120	A		-1	4486.70585008	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1603718	1525631	1414794	18	M	26	A		-1	4486.79549734	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1660138	1525065	1566206	18	M	169	A		-1	4487.24564406	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1638230	1523870	1552559	18	M	168	A		-1	4487.27309702	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1601705	1525631	1568014	18	M	1	A		-1	4487.29613075	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1532416	1419727	1469519	17	M	73	A		-1	4487.42166134	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1611417	1523001	1514924	18	M	51	A		-1	4487.50898571	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1663889	1525065	1552202	18	M	47	A		-1	4487.51962208	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1599666	1525631	1576913	18	M	126	A		-1	4487.94683791	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1669497	1526047	1424532	18	M	10	A		-1	4487.98850061	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1691529	1526983	1514890	18	M	102	A		-1	4488.0242739	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1596165	1594452	1511581	18	M	177	A		-1	4488.42227351	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1612506	1523001	1504482	18	M	34	A		-1	4488.49880544	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1639410	1523870	1481837	18	M	197	A		-1	4488.74235392	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1602866	1525631	1541370	18	M	46	A		-1	4488.93882544	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1612759	1523001	1574319	18	M	59	A		-1	4489.08809588	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1647604	1524439	1447412	18	M	83	A		-1	4489.29376002	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1669018	1525251	1512911	18	M	13	A		-1	4489.30255003	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1629592	1523618	1474564	18	M	160	A		-1	4489.57471524	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1660101	1525065	1449445	18	M	13	A		-1	4490.02125576	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1566293	1420558	1456608	17	M	123	A		-1	4490.06972819	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1645943	1524439	1537269	18	M	159	A		-1	4490.11999671	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1597471	1594452	1456285	18	M	112	A		-1	4490.15703403	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1673263	1526047	1574369	18	M	143	A		-1	4490.4051225	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1660565	1525065	1575655	18	M	182	A		-1	4490.47454069	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1601332	1525631	1445090	18	M	56	A		-1	4490.51876776	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1598933	1594452	1427847	18	M	191	A		-1	4490.66423343	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1680823	1526221	1503623	18	M	130	A		-1	4491.06887575	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1692424	1526983	1593731	18	M	58	A		-1	4491.44392813	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1659681	1525065	1392676	18	M	71	A		-1	4491.80760483	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1688506	1526905	1518484	18	M	27	A		-1	4492.27385412	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1611169	1523001	1425490	18	M	130	A		-1	4492.49120374	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1619572	1523193	1515313	18	M	103	A		-1	4493.23003791	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1649344	1524439	1531729	18	M	175	A		-1	4493.27336254	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1553981	1420258	1494100	17	M	31	A		-1	4493.30632403	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1604041	1525631	1584012	18	M	79	A		-1	4493.43607889	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1690046	1526983	1458313	18	M	111	A		-1	4494.09165254	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1595672	1594452	1585531	18	M	146	A		-1	4494.17543889	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1622621	1523193	1506408	18	M	11	A		-1	4494.45267548	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1669684	1526047	1514177	18	M	154	A		-1	4494.48038829	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1635752	1523870	1518490	18	M	183	A		-1	4494.9906693	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1643264	1524058	1498090	18	M	47	A		-1	4495.16485865	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1661383	1525065	1511087	18	M	184	A		-1	4495.18446431	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1563634	1420388	1447476	17	M	59	A		-1	4495.20146509	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1623684	1523193	1546698	18	M	5	A		-1	4495.22922944	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1680577	1526221	1522443	18	M	65	A		-1	4495.45673918	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1649792	1524627	1576200	18	M	62	A		-1	4495.90119133	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1644867	1524439	1471179	18	M	182	A		-1	4496.31072484	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1599738	1525631	1516763	18	M	127	A		-1	4496.40858805	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1644879	1524439	1581589	18	M	178	A		-1	4496.50758906	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1661631	1525065	1567550	18	M	125	A		-1	4496.62894166	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1643081	1524058	1562765	18	M	48	A		-1	4496.63480821	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1642723	1524058	1564037	18	M	5	A		-1	4496.6912518	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1679879	1526221	1438619	18	M	7	A		-1	4497.20743747	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1564371	1420388	1448418	17	M	167	A		-1	4497.22552199	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1538416	1419877	1474685	17	M	29	A		-1	4497.37103326	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1659352	1524964	1576797	18	M	43	A		-1	4497.5903035	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1614804	1523163	1521539	18	M	181	A		-1	4497.88598972	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1625079	1523456	1482702	18	M	123	A		-1	4498.01213416	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1690982	1526983	1517203	18	M	103	A		-1	4498.07723898	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1429658	1315503	1322245	16	M	171	A		-1	4498.43338406	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1601754	1525631	1439354	18	M	162	A		-1	4498.68814354	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1666025	1525251	1546597	18	M	169	A		-1	4498.84547609	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1609795	1523001	1586160	18	M	64	A		-1	4498.85542618	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1646990	1524439	1563405	18	M	115	A		-1	4498.8675169	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1690479	1526983	1541584	18	M	92	A		-1	4498.94817317	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1651320	1524627	1586301	18	M	169	A		-1	4499.06003118	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1626792	1523456	1403782	18	M	164	A		-1	4499.1424363	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1635499	1523870	1576135	18	M	119	A		-1	4499.36443845	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1653614	1524627	1477136	18	M	56	A		-1	4499.36872315	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1626474	1523456	1437802	18	M	59	A		-1	4499.40452541	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1570595	1420830	1438425	17	M	185	A		-1	4500.00687482	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1646404	1524439	1540340	18	M	109	A		-1	4500.17907768	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1662281	1525065	1560843	18	M	153	A		-1	4500.32620754	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1603209	1525631	1583685	18	M	119	A		-1	4500.63866042	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1600849	1525631	1584270	18	M	99	A		-1	4500.66675652	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1612496	1523001	1560913	18	M	71	A		-1	4500.92497602	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1690136	1526983	1520800	18	M	40	A		-1	4501.46356811	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1645726	1524439	1414936	18	M	123	A		-1	4501.49399816	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1692251	1526983	1536681	18	M	11	A		-1	4501.66620485	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1651872	1524627	1566136	18	M	123	A		-1	4502.48657741	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1601392	1525631	1539709	18	M	111	A		-1	4503.00812127	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1681882	1526221	1568590	18	M	15	A		-1	4503.74135978	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
