animal	sire	dam	born	sex	herd	status	cause	died	TBV	recessives
	95449	42349	52652	2	F	82	D	R	2	656.981392975	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	95648	42349	29947	2	F	26	D	R	2	692.244386284	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	95926	42349	19756	2	F	127	D	R	2	517.15952488	[1, 0, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	96144	42349	42384	2	F	2	D	R	2	589.629265069	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	96578	42349	6897	2	F	135	D	R	2	476.547938562	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	96641	42349	28512	2	F	115	D	R	2	287.482058909	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	96844	42349	9691	2	F	17	D	R	2	204.014505478	[0, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	96997	42349	4248	2	F	172	D	R	2	609.026032462	[1, 1, 0, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	97258	42349	52807	2	F	46	D	R	2	672.832418903	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	97363	42349	18322	2	F	14	D	R	2	644.605843509	[0, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	97544	42349	25265	2	F	146	D	R	2	82.3269449572	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	97771	42349	48472	2	F	146	D	R	2	343.059771322	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	97842	42349	56284	2	F	136	D	R	2	352.427136282	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	98391	42349	1927	2	F	180	D	R	2	306.29418991	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	98407	42349	8563	2	F	139	D	R	2	-258.211464694	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	98502	42349	33038	2	F	22	D	R	2	401.125293606	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	98677	42349	32729	2	F	29	D	R	2	377.784909708	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	98775	42349	14554	2	F	11	D	R	2	199.473127555	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	98807	42349	395	2	F	0	D	R	2	222.847781089	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	99237	42349	3374	2	F	155	D	R	2	132.592349504	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	99286	42349	37543	2	F	149	D	R	2	452.587906012	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	99836	42349	20086	2	F	161	D	R	2	46.8813257291	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	99891	42349	23469	2	F	184	D	R	2	902.682725223	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	100308	42349	24360	2	F	4	D	R	2	29.2705662029	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]
	32343	0	0	-4	F	76	D	A	2	-246.057818662	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	25815	0	0	-4	F	175	D	A	2	-24.3472881116	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	32340	0	0	-4	F	95	D	A	2	330.580009297	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	2055	0	0	-4	F	82	D	A	2	347.723093786	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	24256	0	0	-4	F	95	D	A	2	45.2708123574	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	16322	0	0	-4	F	89	D	A	2	-299.26915941	[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	1295	0	0	-4	F	1	D	A	2	-325.881996798	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	20436	0	0	-4	F	97	D	A	2	164.996171549	[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	25177	0	0	-4	F	46	D	A	2	-133.39914387	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	31645	0	0	-4	F	114	D	A	2	347.287351891	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	1863	0	0	-4	F	26	D	A	2	231.335044678	[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	20998	0	0	-4	F	100	D	A	2	-310.441324641	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	9276	0	0	-4	F	176	D	A	2	355.432937185	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	5696	0	0	-4	F	28	D	A	2	-130.758016178	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]
	27284	0	0	-4	F	84	D	A	2	269.536616901	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]
	20961	0	0	-4	F	136	D	A	2	89.1655324678	[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	2081	0	0	-4	F	30	D	A	2	-15.7927226462	[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	10238	0	0	-4	F	114	D	A	2	70.0221103317	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	27070	0	0	-4	F	2	D	A	2	11.3888465913	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	3377	0	0	-4	F	181	D	A	2	-4.00821346919	[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	9585	0	0	-4	F	175	D	A	2	-181.313898617	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	8792	0	0	-4	F	181	D	A	2	-47.0485721814	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	18408	0	0	-4	F	8	D	A	2	-10.2441396965	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	16524	0	0	-4	F	157	D	A	2	123.091054493	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	24323	0	0	-4	F	14	D	A	2	-171.72840762	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	5321	0	0	-4	F	19	D	A	2	200.473010604	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	27531	0	0	-4	F	92	D	A	2	-1.64029673136	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	2040	0	0	-4	F	43	D	A	2	-83.6289332883	[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	17294	0	0	-4	F	81	D	A	2	-103.410862134	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	12869	0	0	-4	F	148	D	A	2	404.827507434	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	25631	0	0	-4	F	125	D	A	2	-3.51301467342	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	15167	0	0	-4	F	112	D	A	2	114.983128895	[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	5495	0	0	-4	F	91	D	A	2	192.00814214	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	4204	0	0	-4	F	14	D	A	2	63.6984057538	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	12975	0	0	-4	F	43	D	A	2	-59.9011714917	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	26001	0	0	-4	F	119	D	A	2	-157.699777774	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	195	0	0	-4	F	139	D	A	2	69.8969420325	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]
	9138	0	0	-4	F	137	D	A	2	66.9218719351	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]
	2504	0	0	-4	F	159	D	A	2	364.322906715	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	27907	0	0	-4	F	10	D	A	2	-85.4803454706	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	3228	0	0	-4	F	130	D	A	2	-28.8350391134	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	26599	0	0	-4	F	7	D	A	2	269.724587129	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	20744	0	0	-4	F	85	D	A	2	-320.737206632	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	11563	0	0	-4	F	140	D	A	2	182.284364175	[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]
	3184	0	0	-4	F	96	D	A	2	-252.034426649	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	12339	0	0	-4	F	4	D	A	2	479.319309016	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	29562	0	0	-4	F	144	D	A	2	-88.4701152718	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	418	0	0	-4	F	33	D	A	2	-215.652710042	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	31238	0	0	-4	F	89	D	A	2	209.739576946	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	3038	0	0	-4	F	10	D	A	2	145.516975908	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	24286	0	0	-4	F	126	D	A	2	92.5289948693	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	4093	0	0	-4	F	45	D	A	2	27.5047692153	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	27497	0	0	-4	F	104	D	A	2	-191.097456234	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	30687	0	0	-4	F	43	D	A	2	102.232757512	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	22415	0	0	-4	F	60	D	A	2	-196.619307916	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	29800	0	0	-4	F	30	D	A	2	-78.7880776635	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	10435	0	0	-4	F	6	D	A	2	117.152936575	[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	17006	0	0	-4	F	79	D	A	2	-11.8609830283	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	28876	0	0	-4	F	17	D	A	2	-66.5732157819	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	12517	0	0	-4	F	186	D	A	2	307.487763943	[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]
	30752	0	0	-4	F	184	D	A	2	84.7622238172	[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
	25118	0	0	-4	F	150	D	A	2	-39.1811331879	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
